=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.09.23 18:04:41 =~=~=~=~=~=~=~=~=~=~=~=
ESP-ROM:esp32s3-20210327
FastIMU calibration & data example
Keep IMU level.
Calibration done!
Accel biases X/Y/Z: 
0.02, 0.06, 0.02
Gyro biases X/Y/Z: 
1.29, 1.58, 0.08
Setup finished
SampleType: 1 / 2
NumSample: 1 / 30
Press return to start next sample
... Start Reading Sample ...
0	3	2	-0.21	-0.12	-1.03	-48.54	76.98	-13.33
0	3	3	-0.19	-0.10	-1.04	-45.41	85.42	-17.58
0	3	4	-0.17	-0.07	-1.01	-50.66	96.17	-20.70
0	3	5	-0.14	0.01	-0.96	-57.73	106.17	-19.39
0	3	6	-0.13	0.10	-0.95	-63.04	111.60	-16.26
0	3	7	-0.10	0.16	-0.95	-66.41	116.04	-14.95
0	3	8	-0.08	0.21	-0.94	-58.79	114.85	-25.45
0	3	9	-0.08	0.25	-0.93	-51.10	119.54	-31.83
0	3	10	-0.02	0.32	-0.85	-58.48	120.35	-32.70
0	3	11	-0.02	0.43	-0.75	-54.60	116.23	-35.64
0	3	12	-0.01	0.52	-0.72	-49.91	109.54	-19.89
0	3	13	0.02	0.60	-0.75	-43.48	100.48	-13.58
0	3	14	0.04	0.69	-0.76	-43.91	92.17	-3.14
0	3	15	0.09	0.78	-0.76	-35.98	71.35	0.86
0	3	16	0.12	0.81	-0.79	-13.04	44.79	-5.08
0	3	17	0.12	0.76	-0.79	-2.91	24.35	-8.39
0	3	18	0.11	0.73	-0.78	-0.54	7.48	-8.26
0	3	19	0.12	0.72	-0.77	1.52	-8.65	-5.58
0	3	20	0.09	0.69	-0.78	6.09	-27.77	-0.26
0	3	21	0.03	0.62	-0.80	12.71	-39.58	2.55
0	3	22	-0.02	0.57	-0.81	20.46	-44.33	2.11
0	3	23	-0.05	0.52	-0.84	26.15	-48.52	2.24
0	3	24	-0.06	0.48	-0.86	27.65	-50.65	4.36
0	3	25	-0.06	0.46	-0.85	24.52	-51.65	6.17
0	3	26	-0.06	0.48	-0.82	25.21	-55.90	8.30
0	3	27	-0.06	0.47	-0.84	31.02	-61.08	11.92
0	3	28	-0.06	0.43	-0.86	29.84	-64.58	17.05
0	3	29	-0.06	0.43	-0.88	30.27	-66.27	17.36
0	3	30	-0.06	0.42	-0.89	33.65	-69.33	16.92
0	3	31	-0.07	0.39	-0.91	36.34	-73.52	16.49
0	3	32	-0.08	0.36	-0.92	34.40	-79.08	18.55
0	3	33	-0.10	0.34	-0.92	39.15	-84.40	16.24
0	3	34	-0.11	0.28	-0.91	42.21	-86.08	10.92
0	3	35	-0.16	0.22	-0.93	44.02	-80.21	19.61
0	3	36	-0.15	0.19	-0.93	53.02	-89.08	27.49
0	3	37	-0.15	0.11	-0.99	53.96	-84.90	17.86
0	3	38	-0.15	0.03	-0.97	44.65	-80.21	6.24
