SampleType	NumSample	numItem	accelX	accelY	accelZ	gyroX	gyroY	gyroZ
0	7	19	0.02	-0.16	-1.00	3.22	47.90	-1.83
0	7	20	0.05	-0.10	-1.00	3.03	57.15	0.17
0	7	21	0.02	0.02	-1.01	0.41	57.21	0.29
0	7	22	0.03	0.08	-1.00	0.85	45.09	-0.27
0	7	23	0.01	0.04	-1.00	0.03	41.34	-1.08
0	7	24	-0.01	-0.04	-1.00	-0.59	46.09	2.17
0	7	25	-0.03	0.06	-1.00	-0.28	48.90	-0.21
0	7	26	-0.00	0.17	-1.00	0.41	39.84	1.42
0	7	27	0.00	0.20	-1.00	0.16	32.53	-0.64
0	7	28	-0.02	0.18	-1.00	0.41	24.71	-0.27
0	7	29	-0.04	0.22	-1.00	-0.34	27.09	-0.27
0	7	30	-0.05	0.28	-1.00	0.91	23.90	-0.64
0	7	31	-0.03	0.25	-1.00	0.47	21.21	-1.21
0	7	32	-0.02	0.24	-1.00	0.41	18.59	-0.14
0	7	33	-0.03	0.33	-1.00	0.35	1.28	-0.02
0	7	34	0.00	0.27	-1.01	-2.03	2.71	0.04
0	7	35	-0.05	0.18	-0.99	-5.90	-4.16	0.11
0	7	36	-0.01	0.25	-1.00	-0.15	-3.79	-0.39
0	7	37	-0.03	0.29	-1.00	1.22	-20.85	-0.33
0	7	38	0.02	0.20	-1.00	1.78	-19.04	1.29
0	7	39	0.02	0.18	-1.00	-0.47	-21.04	0.61
0	7	40	-0.00	0.23	-1.00	-0.97	-16.72	0.98
0	7	41	-0.03	0.22	-1.00	0.72	-24.66	-0.39
0	7	42	-0.01	0.18	-1.00	-0.34	-36.97	1.04
0	7	43	0.01	0.09	-1.00	1.03	-45.29	-0.14
0	7	44	0.03	-0.01	-1.00	-1.09	-44.04	0.29
0	7	45	-0.01	-0.03	-1.00	1.72	-39.29	-0.46
0	7	46	0.02	-0.01	-1.00	0.60	-51.04	-1.58
0	7	47	0.02	-0.03	-1.00	-0.28	-46.97	0.98
0	7	48	0.05	-0.09	-1.00	-1.15	-41.29	0.79
0	7	49	0.02	-0.11	-1.00	-1.03	-26.10	0.29
0	8	0	-0.00	-0.00	-1.00	0.03	0.03	-0.14
0	8	1	-0.01	-0.01	-1.00	-0.15	0.84	-0.02
0	8	2	0.00	-0.01	-1.00	-0.09	1.09	-0.02
0	8	3	0.01	-0.02	-1.00	-0.09	-2.79	0.36
0	8	4	0.01	-0.06	-1.00	-0.15	-10.97	-0.27
0	8	5	0.03	-0.15	-1.00	-0.09	-14.35	-0.21
0	8	6	0.01	-0.16	-1.00	-0.15	-5.66	0.48
0	8	7	0.01	-0.19	-1.00	0.16	-10.16	0.23
0	8	8	0.04	-0.21	-1.00	-0.22	-6.60	1.29
